482,Madden NFL 12,2011,E,1,8
483,LEGO Star Wars II: The Original Trilogy,2006,E10+,9,19
484,Killzone: Shadow Fall,2013,M,7,4
485,Madden NFL 11,2010,E,1,8
486,Burnout 3: Takedown,2004,T,3,8
487,Yokai Watch 2 Shinuchi,2014,,4,38
488,Mario vs. Donkey Kong: Mini-Land Mayhem!,2010,E,5,1
489,Professor Layton and the Last Specter,2009,E10+,5,1
490,Call Of Duty 2: Big Red One,2005,T,7,5
491,Fable,2004,M,4,2
492,Hannah Montana,2006,E,9,33
493,Super Mario Bros.: The Lost Levels,1986,,2,1
494,Need for Speed: Shift,2009,E,3,8
495,Star Wars: Shadows of the Empire,1996,,9,1
496,Medal of Honor Heroes,2006,T,7,8
497,Final Fantasy XIII-2,2011,T,4,16
498,Midnight Club: Street Racing,2000,T,3,3
499,Skate 3,2010,T,1,8
500,ESPN NFL 2K5,2004,E,1,9
501,Halo Wars,2009,T,12,2
502,NBA 2K12,2011,E,1,3
503,Pac-Man: Adventures in Time,2006,,10,4
504,Harry Potter and the Chamber of Secrets,2002,E,9,8
505,Streets of Rage,1990,,9,9
506,God of War Collection,2009,M,9,4
507,NBA Live 2005,2004,E,1,8
508,Mario Strikers Charged,2007,E10+,1,1
509,FIFA Soccer 09,2008,E,1,8
510,Style Savvy,2008,E,8,1
511,WWE SmackDown vs. RAW 2007,2006,T,10,29
512,Ratchet & Clank: Up Your Arsenal,2004,,2,4
513,Madden NFL 08,2007,E,1,8
514,Monster Hunter Freedom 2,2007,T,4,13
515,Ratchet & Clank Future: Tools of Destruction,2007,,2,4
516,Super Mario All-Stars: Limited Edition,2010,,2,1
517,Sonic Adventure 2 Battle,2001,E,2,9
518,Dragon Warrior II,1987,,4,25
519,Ghostbusters: The Video Game (DS Version),2009,,9,3
520,Dragon Age: Origins,2009,M,4,8
521,Pokémon Colosseum,2003,E,4,1
522,Madden NFL 09,2008,E,1,8
523,Space Invaders,N/A,,7,11
524,Crazy Taxi,2001,T,3,31
525,Art Academy,2010,E,6,1
526,NBA 2K14,2013,E,1,3
527,Perfect Dark,2000,,9,1
528,Skylanders Giants,2012,E10+,9,5
529,Dragon Warrior,1986,,4,13
530,Deca Sports,2008,E,1,15
531,PES 2009: Pro Evolution Soccer,2008,,1,15
532,Mario Party 2,1999,,6,1
533,Marvel: Ultimate Alliance,2006,T,4,5
534,Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,2003,,9,3
535,Mortal Kombat: Deadly Alliance,2002,M,10,40
536,Game Party,2007,E,6,40
537,Bloodborne,2015,M,9,4
538,Tomb Raider: The Last Revelation,1998,,9,22
539,Mario Party 4,2002,E,6,1
540,Pure,2008,E,3,33
541,Rock Band,N/A,T,6,8
542,Resistance 2,2008,M,7,4
543,NBA 2K15,2014,E,1,3
544,Final Fantasy V,1992,,4,10
545,Final Fantasy Tactics,1997,T,4,10
546,Midnight Club: Los Angeles,2008,T,3,3
547,Twisted Metal 2,1996,,3,4
548,The Sims: Bustin' Out,2003,T,8,8
549,Riven: The Sequel to Myst,1997,E,11,37
550,LEGO Harry Potter: Years 1-4,2010,E10+,9,20
551,Need for Speed (2015),2015,,3,8
552,Ice Hockey,1988,,1,1
553,Sonic Adventure,1998,,2,9
554,Tom Clancy's Rainbow Six: Vegas 2,2008,M,7,6
555,uDraw Studio,2010,E,6,29
556,Tomb Raider (2013),2013,,9,16
557,Need for Speed Carbon: Own the City,2006,E10+,3,8
558,Dragon Ball Z: Budokai 2,2003,T,10,11
559,pro evolution soccer 2011,2010,E,1,15
560,ATV Offroad Fury,2001,E,3,4
561,Dino Crisis,1998,,9,13
562,Need for Speed: ProStreet,2007,E10+,3,8
563,Halo: Combat Evolved Anniversary,2011,M,7,2
564,Tetris Plus,1996,,5,41
565,Pro Wrestling,1987,,10,1
566,Theme Hospital,1997,K-A,12,8
567,Frogger's Adventures: Temple of the Frog,N/A,E,11,15
568,Monopoly,1994,,6,28
569,,1993,,13,31
570,Guitar Hero,2005,T,6,23
571,WCW/nWo Revenge,1998,,10,29
572,Yu-Gi-Oh! The Duelists of the Roses,2001,,6,15
573,Dead Island,2011,M,9,42
574,Half-Life 2,2004,M,7,24
575,The Incredibles,2004,T,9,29
576,Tony Hawk's Underground 2,2004,T,1,5
577,Kirby's Dream Land 2,1995,,2,1
578,Donkey Kong Land II,1996,,2,1
579,Dragon Warrior Monsters,1998,,4,22
580,Kinect: Disneyland Adventures,2011,E10+,6,2
581,WWE SmackDown vs Raw 2008,2007,T,10,29
582,The Legend of Zelda: Majora's Mask 3D,2015,E10+,9,1
583,Resident Evil - Code: Veronica X,2001,M,9,13
584,Kinect Sports: Season Two,2011,E,1,2
585,My Fitness Coach,2008,E,1,6
586,Mario Tennis,2000,,1,1
587,Grand Theft Auto,1997,,9,3
588,James Bond 007: Everything or Nothing,2004,T,7,8
589,Need For Speed: High Stakes,1999,E,3,8
590,Chrono Trigger,1995,,4,10
591,Guild Wars 2,2012,T,9,43
592,Cool Boarders 3,1998,,1,44
593,Paper Mario: Sticker Star,2012,E,4,1
594,WarioWare Touched!,2004,,5,1
595,Batman: Arkham Origins,2013,T,9,20
596,Yokai Watch Busters,2015,,9,38
597,Pro Evolution Soccer 2010,2009,E,1,15
598,Mario Bros.,1983,,2,1
599,Pokemon Ranger: Shadows of Almia,2008,E,4,1
